[2025-10-26T11:18:04.127+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Alexandre_Lacazette_22/gw.csv
[2025-10-26T11:18:05.385+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Pierre-Emerick_Aubameyang_23/gw.csv
[2025-10-26T11:18:08.261+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Lucas_Torreira_450/gw.csv
[2025-10-26T11:18:09.734+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Matteo_Guendouzi_451/gw.csv
[2025-10-26T11:18:11.305+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Emiliano_Martínez_542/gw.csv
[2025-10-26T11:18:12.384+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Emile_Smith-Rowe_545/gw.csv
[2025-10-26T11:18:14.485+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Zech_Medley_546/gw.csv
[2025-10-26T11:18:16.630+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Edward_Nketiah_552/gw.csv
[2025-10-26T11:18:18.594+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Bukayo_Saka_563/gw.csv
[2025-10-26T11:18:21.910+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Joseph_Willock_566/gw.csv
[2025-10-26T11:18:25.674+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Carl_Jenkinson_581/gw.csv
[2025-10-26T11:18:28.462+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Denis_Suárez_586/gw.csv
[2025-10-26T11:18:29.987+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Asmir_Begovic_24/gw.csv
[2025-10-26T11:18:32.030+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Artur_Boruc_25/gw.csv
[2025-10-26T11:18:33.991+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Simon_Francis_26/gw.csv
[2025-10-26T11:18:35.240+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Steve_Cook_27/gw.csv
[2025-10-26T11:18:36.631+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Charlie_Daniels_28/gw.csv
[2025-10-26T11:18:38.522+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Adam_Smith_29/gw.csv
[2025-10-26T11:18:39.853+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Tyrone_Mings_30/gw.csv
[2025-10-26T11:18:42.104+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Nathan_Aké_31/gw.csv
[2025-10-26T11:18:43.103+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Jack_Simpson_32/gw.csv
[2025-10-26T11:18:44.377+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Marc_Pugh_34/gw.csv
[2025-10-26T11:18:45.730+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Andrew_Surman_35/gw.csv
[2025-10-26T11:18:46.807+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Junior_Stanislas_36/gw.csv
[2025-10-26T11:18:47.703+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Dan_Gosling_37/gw.csv
[2025-10-26T11:18:48.723+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Jordon_Ibe_38/gw.csv
[2025-10-26T11:18:49.370+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Lewis_Cook_39/gw.csv
[2025-10-26T11:18:50.078+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Ryan_Fraser_40/gw.csv
[2025-10-26T11:18:50.927+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Emerson_Hyndman_41/gw.csv
[2025-10-26T11:18:51.896+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/David_Brooks_42/gw.csv
