[2025-10-26T17:32:11.166+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Alexandre_Lacazette_22/gw.csv
[2025-10-26T17:32:11.735+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Pierre-Emerick_Aubameyang_23/gw.csv
[2025-10-26T17:32:12.356+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Lucas_Torreira_450/gw.csv
[2025-10-26T17:32:12.940+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Matteo_Guendouzi_451/gw.csv
[2025-10-26T17:32:13.519+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Emiliano_Martínez_542/gw.csv
[2025-10-26T17:32:14.108+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Emile_Smith-Rowe_545/gw.csv
[2025-10-26T17:32:14.699+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Zech_Medley_546/gw.csv
[2025-10-26T17:32:15.350+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Edward_Nketiah_552/gw.csv
[2025-10-26T17:32:15.936+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Bukayo_Saka_563/gw.csv
[2025-10-26T17:32:16.534+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Joseph_Willock_566/gw.csv
[2025-10-26T17:32:17.116+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Carl_Jenkinson_581/gw.csv
[2025-10-26T17:32:17.825+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Denis_Suárez_586/gw.csv
[2025-10-26T17:32:18.423+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Asmir_Begovic_24/gw.csv
[2025-10-26T17:32:19.036+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Artur_Boruc_25/gw.csv
[2025-10-26T17:32:19.601+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Simon_Francis_26/gw.csv
[2025-10-26T17:32:20.266+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Steve_Cook_27/gw.csv
[2025-10-26T17:32:20.918+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Charlie_Daniels_28/gw.csv
[2025-10-26T17:32:22.275+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Adam_Smith_29/gw.csv
[2025-10-26T17:32:23.001+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Tyrone_Mings_30/gw.csv
[2025-10-26T17:32:23.557+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Nathan_Aké_31/gw.csv
[2025-10-26T17:32:24.150+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Jack_Simpson_32/gw.csv
[2025-10-26T17:32:24.751+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Marc_Pugh_34/gw.csv
[2025-10-26T17:32:25.912+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Andrew_Surman_35/gw.csv
[2025-10-26T17:32:28.451+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Junior_Stanislas_36/gw.csv
[2025-10-26T17:32:29.120+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Dan_Gosling_37/gw.csv
[2025-10-26T17:32:29.752+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Jordon_Ibe_38/gw.csv
[2025-10-26T17:32:30.411+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Lewis_Cook_39/gw.csv
