[2025-10-26T11:18:01.694+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Alexandre_Lacazette_22/gw.csv
[2025-10-26T11:18:04.837+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Pierre-Emerick_Aubameyang_23/gw.csv
[2025-10-26T11:18:07.439+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Lucas_Torreira_450/gw.csv
[2025-10-26T11:18:09.330+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Matteo_Guendouzi_451/gw.csv
[2025-10-26T11:18:10.870+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Emiliano_Martínez_542/gw.csv
[2025-10-26T11:18:12.315+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Emile_Smith-Rowe_545/gw.csv
[2025-10-26T11:18:13.981+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Zech_Medley_546/gw.csv
[2025-10-26T11:18:16.172+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Edward_Nketiah_552/gw.csv
[2025-10-26T11:18:18.142+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Bukayo_Saka_563/gw.csv
[2025-10-26T11:18:20.178+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Joseph_Willock_566/gw.csv
[2025-10-26T11:18:24.865+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Carl_Jenkinson_581/gw.csv
[2025-10-26T11:18:27.936+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Denis_Suárez_586/gw.csv
[2025-10-26T11:18:29.517+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Asmir_Begovic_24/gw.csv
[2025-10-26T11:18:30.752+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Artur_Boruc_25/gw.csv
[2025-10-26T11:18:33.822+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Simon_Francis_26/gw.csv
[2025-10-26T11:18:34.897+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Steve_Cook_27/gw.csv
[2025-10-26T11:18:35.933+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Charlie_Daniels_28/gw.csv
[2025-10-26T11:18:36.834+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Adam_Smith_29/gw.csv
[2025-10-26T11:18:39.002+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Tyrone_Mings_30/gw.csv
[2025-10-26T11:18:41.180+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Nathan_Aké_31/gw.csv
[2025-10-26T11:18:42.637+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Jack_Simpson_32/gw.csv
[2025-10-26T11:18:43.842+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Marc_Pugh_34/gw.csv
[2025-10-26T11:18:44.957+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Andrew_Surman_35/gw.csv
[2025-10-26T11:18:46.376+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Junior_Stanislas_36/gw.csv
[2025-10-26T11:18:47.203+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Dan_Gosling_37/gw.csv
[2025-10-26T11:18:48.496+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Jordon_Ibe_38/gw.csv
[2025-10-26T11:18:49.308+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Lewis_Cook_39/gw.csv
[2025-10-26T11:18:50.042+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Ryan_Fraser_40/gw.csv
[2025-10-26T11:18:50.882+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Emerson_Hyndman_41/gw.csv
[2025-10-26T11:18:51.805+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/David_Brooks_42/gw.csv
[2025-10-26T11:18:52.843+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Callum_Wilson_43/gw.csv
[2025-10-26T11:18:53.683+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Lys_Mousset_44/gw.csv
[2025-10-26T11:18:54.539+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Joshua_King_45/gw.csv
[2025-10-26T11:18:55.493+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Jermain_Defoe_46/gw.csv
[2025-10-26T11:18:56.451+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Nathaniel_Clyne_241/gw.csv
[2025-10-26T11:18:57.467+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Dominic_Solanke_259/gw.csv
[2025-10-26T11:18:58.301+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Diego_Rico_473/gw.csv
[2025-10-26T11:18:58.955+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2023-24/players/Jefferson_Lerma_494/gw.csv
