player_name,team_id,team_name,full_name
milner,5,Brighton,Milner
minteh,5,Brighton,Minteh
mitoma,5,Brighton,Mitoma
moder,5,Brighton,Moder
o’mahony,5,Brighton,O’Mahony
offiah,5,Brighton,Offiah
peupion,5,Brighton,Peupion
sarmiento,5,Brighton,Sarmiento
steele,5,Brighton,Steele
undav,5,Brighton,Undav
van hecke,5,Brighton,Van Hecke
veltman,5,Brighton,Veltman
verbruggen,5,Brighton,Verbruggen
webster,5,Brighton,Webster
welbeck,5,Brighton,Welbeck
wieffer,5,Brighton,Wieffer
gruda,5,Brighton,Gruda
ayari,5,Brighton,Ayari
moran,5,Brighton,Moran
rushworth,5,Brighton,Rushworth
georginio,5,Brighton,Georginio
f.kadıoğlu,5,Brighton,F.Kadıoğlu
o'riley,5,Brighton,O'Riley
samuels,5,Brighton,Samuels
cahill,5,Brighton,Cahill
mcconville,5,Brighton,McConville
slater,5,Brighton,Slater
gómez,5,Brighton,Gómez
hürzeler,5,Brighton,Hürzeler
andrey santos,6,Chelsea,Andrey Santos
ângelo,6,Chelsea,Ângelo
b.badiashile,6,Chelsea,B.Badiashile
bergström,6,Chelsea,Bergström
bettinelli,6,Chelsea,Bettinelli
caicedo,6,Chelsea,Caicedo
casadei,6,Chelsea,Casadei
chalobah,6,Chelsea,Chalobah
chilwell,6,Chelsea,Chilwell
chukwuemeka,6,Chelsea,Chukwuemeka
colwill,6,Chelsea,Colwill
cucurella,6,Chelsea,Cucurella
d.d.fofana,6,Chelsea,D.D.Fofana
deivid,6,Chelsea,Deivid
dewsbury-hall,6,Chelsea,Dewsbury-Hall
disasi,6,Chelsea,Disasi
enzo,6,Chelsea,Enzo
gallagher,6,Chelsea,Gallagher
gilchrist,6,Chelsea,Gilchrist
gusto,6,Chelsea,Gusto
james,6,Chelsea,James
kellyman,6,Chelsea,Kellyman
lavia,6,Chelsea,Lavia
lukaku,6,Chelsea,Lukaku
m.sarr,6,Chelsea,M.Sarr
madueke,6,Chelsea,Madueke
marc guiu,6,Chelsea,Marc Guiu
mudryk,6,Chelsea,Mudryk
n.jackson,6,Chelsea,N.Jackson
nkunku,6,Chelsea,Nkunku
palmer,6,Chelsea,Palmer
petrović,6,Chelsea,Petrović
renato veiga,6,Chelsea,Renato Veiga
sánchez,6,Chelsea,Sánchez
tosin,6,Chelsea,Tosin
w.fofana,6,Chelsea,W.Fofana
sancho,6,Chelsea,Sancho
neto,6,Chelsea,Neto
wiley,6,Chelsea,Wiley
jørgensen,6,Chelsea,Jørgensen
joão félix,6,Chelsea,João Félix
rak-sakyi,6,Chelsea,Rak-Sakyi
george,6,Chelsea,George
acheampong,6,Chelsea,Acheampong
maresca,6,Chelsea,Maresca
nketiah,7,Crystal Palace,Nketiah
ahamada,7,Crystal Palace,Ahamada
c.doucouré,7,Crystal Palace,C.Doucouré
c.richards,7,Crystal Palace,C.Richards
chadi riad,7,Crystal Palace,Chadi Riad
clyne,7,Crystal Palace,Clyne
ebiowei,7,Crystal Palace,Ebiowei
eze,7,Crystal Palace,Eze
guéhi,7,Crystal Palace,Guéhi
henderson,7,Crystal Palace,Henderson
holding,7,Crystal Palace,Holding
hughes,7,Crystal Palace,Hughes
kamada,7,Crystal Palace,Kamada
lerma,7,Crystal Palace,Lerma
mateta,7,Crystal Palace,Mateta
m.frança,7,Crystal Palace,M.França
matthews,7,Crystal Palace,Matthews
