[2025-10-26T11:18:04.809+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Alexandre_Lacazette_22/gw.csv
[2025-10-26T11:18:07.418+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Pierre-Emerick_Aubameyang_23/gw.csv
[2025-10-26T11:18:09.191+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Lucas_Torreira_450/gw.csv
[2025-10-26T11:18:10.449+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Matteo_Guendouzi_451/gw.csv
[2025-10-26T11:18:12.224+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Emiliano_Martínez_542/gw.csv
[2025-10-26T11:18:13.977+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Emile_Smith-Rowe_545/gw.csv
[2025-10-26T11:18:16.181+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Zech_Medley_546/gw.csv
[2025-10-26T11:18:18.164+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Edward_Nketiah_552/gw.csv
[2025-10-26T11:18:20.372+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Bukayo_Saka_563/gw.csv
[2025-10-26T11:18:24.899+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Joseph_Willock_566/gw.csv
[2025-10-26T11:18:27.937+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Carl_Jenkinson_581/gw.csv
[2025-10-26T11:18:29.538+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Denis_Suárez_586/gw.csv
[2025-10-26T11:18:30.752+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Asmir_Begovic_24/gw.csv
[2025-10-26T11:18:33.826+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Artur_Boruc_25/gw.csv
[2025-10-26T11:18:34.900+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Simon_Francis_26/gw.csv
[2025-10-26T11:18:35.933+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Steve_Cook_27/gw.csv
[2025-10-26T11:18:36.893+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Charlie_Daniels_28/gw.csv
